"date";"lunch";"dinner"
"2016-01-04";"364";"294"
"2016-01-05";"489";"363"
"2016-01-06";"522";"401"
"2016-01-07";"514";"349"
"2016-01-08";"409";"218"
"2016-01-11";"462";"372"
"2016-01-12";"575";"435"
"2016-01-13";"525";"388"
"2016-01-14";"545";"341"
"2016-01-15";"434";"261"
"2016-01-18";"424";"371"
"2016-01-19";"499";"391"
"2016-01-20";"501";"398"
"2016-01-21";"525";"382"
"2016-01-22";"452";"265"
"2016-01-25";"484";"332"
"2016-01-26";"514";"385"
"2016-01-27";"514";"343"
"2016-01-28";"535";"325"
"2016-01-29";"412";"219"
"2016-02-01";"404";"302"
"2016-02-02";"504";"328"
"2016-02-03";"427";"324"
"2016-02-04";"462";"258"
"2016-02-05";"285";"116"
"2016-02-08";"0";"0"
"2016-02-09";"0";"0"
"2016-02-10";"0";"0"
"2016-02-11";"132";"97"
"2016-02-12";"153";"82"
"2016-02-15";"189";"147"
"2016-02-16";"266";"150"
"2016-02-17";"250";"123"
"2016-02-18";"216";"100"
"2016-02-19";"205";"74"
"2016-03-01";"0";"0"
"2016-03-02";"0";"0"
"2016-03-03";"0";"0"
"2016-03-04";"0";"0"
"2016-03-07";"0";"0"
"2016-03-08";"0";"0"
"2016-03-09";"0";"0"
"2016-03-10";"0";"0"
"2016-03-11";"0";"0"
"2016-03-14";"585";"388"
"2016-03-15";"733";"464"
"2016-03-16";"716";"470"
"2016-03-17";"727";"452"
"2016-03-18";"620";"312"
"2016-03-21";"654";"498"
"2016-03-22";"752";"449"
"2016-03-23";"668";"337"
"2016-03-24";"0";"0"
"2016-03-25";"0";"0"
"2016-03-28";"630";"487"
"2016-03-29";"803";"461"
"2016-03-30";"801";"537"
"2016-03-31";"750";"526"
"2016-04-01";"710";"351"
"2016-04-04";"647";"461"
"2016-04-05";"783";"501"
"2016-04-06";"757";"516"
"2016-04-07";"725";"475"
"2016-04-08";"683";"370"
"2016-04-11";"646";"446"
"2016-04-12";"780";"495"
"2016-04-13";"753";"523"
