Data,Qt_almoco,Qt_jantar
2017-05-01,0,0
2017-05-02,734,491
2017-05-03,805,501
2017-05-04,807,555
2017-05-05,671,375
2017-05-08,672,502
2017-05-09,808,541
2017-05-10,823,513
2017-05-11,808,493
2017-05-12,575,304
2017-05-15,647,498
2017-05-16,823,502
2017-05-17,763,517
2017-05-18,817,507
2017-05-19,694,402
2017-05-22,707,514
2017-05-23,806,518
2017-05-24,799,537
2017-05-25,813,544
2017-05-26,689,396
2017-05-29,627,499
2017-05-30,796,553
2017-05-31,781,478
2017-06-01,812,492
2017-06-02,608,361
2017-06-05,616,506
2017-06-06,778,525
2017-06-07,768,500
2017-06-08,787,496
2017-06-09,642,359
2017-06-12,681,469
2017-06-13,779,503
2017-06-14,738,419
2017-06-15,0,0
2017-06-16,315,158
2017-06-19,608,494
2017-06-20,786,520
2017-06-21,788,512
2017-06-22,769,484
2017-06-23,661,367
2017-06-26,635,493
2017-06-27,792,502
2017-06-28,770,490
2017-06-29,738,487
2017-06-30,565,301
 2017-07-03,660,467
 2017-07-04,742,461
 2017-07-05,0,0
 2017-07-06,746,444
 2017-07-07,591,347
 2017-07-10,540,397
 2017-07-11,605,375
 2017-07-12,629,375
 2017-07-13,588,339
 2017-07-14,407,212
 2017-07-17,424,291
 2017-07-18,446,238
 2017-07-19,429,286
 2017-07-20,378,183
 2017-07-21,314,154
 2017-07-24,124,0
 2017-07-25,125,0
 2017-07-26,145,0
 2017-07-27,146,0
 2017-07-28,103,0
 2017-07-31,132,0
 2017-08-01,138,0
 2017-08-02,151,0
 2017-08-03,150,0
 2017-08-04,132,0
 2017-08-07,143,0
 2017-08-08,149,0
 2017-08-09,166,0
 2017-08-10,176,0
 2017-08-11,139,0
 2017-08-14,281,0
 2017-08-15,378,0
 2017-08-16,687,466
 2017-08-17,732,462
 2017-08-18,544,326
 2017-08-21,801,558
 2017-08-22,947,576
 2017-08-23,895,647
 2017-08-24,858,539
 2017-08-25,658,386
 2017-08-28,777,547
 2017-08-29,939,598
 2017-08-30,894,588
 2017-08-31,870,559
2017-09-01,705,434
2017-09-04,793,578
2017-09-05,935,530
2017-09-06,759,469
2017-09-07,0,0
2017-09-08,232,136
2017-09-11,762,560
2017-09-12,943,589
2017-09-13,823,560
2017-09-14,869,565
2017-09-15,672,411
2017-09-18,728,554
2017-09-19,882,529
2017-09-20,784,534
2017-09-21,842,505
2017-09-22,702,428
2017-09-25,702,519
2017-09-26,891,568
2017-09-27,847,535
2017-09-28,834,556
2017-09-29,707,392
2017-10-02,704,524
2017-10-03,900,545
2017-10-04,817,532
2017-10-05,848,527
2017-10-06,668,420
2017-10-09,746,514
2017-10-10,790,480
2017-10-11,708,402
2017-10-12,0,0
2017-10-13,0,0
2017-10-16,700,504
2017-10-17,854,523
2017-10-18,823,546
2017-10-19,861,533
2017-10-20,698,444
2017-10-23,700,528
2017-10-24,869,512
2017-10-25,809,448
2017-10-26,610,377
2017-10-27,504,214
2017-10-30,749,523
2017-10-31,833,518
2017-11-01,767,466
2017-11-02,0,0
2017-11-03,290,192
2017-11-06,673,495
2017-11-07,808,472
2017-11-08,860,508
2017-11-09,841,485
2017-11-10,590,399
2017-11-13,660,470
2017-11-14,849,470
2017-11-15,0,0
2017-11-16,769,507
2017-11-17,613,371
2017-11-20,663,464
2017-11-21,825,469
2017-11-22,838,556
2017-11-23,802,508
2017-11-24,663,409
2017-11-27,656,473
2017-11-28,800,524
2017-11-29,803,538
2017-11-30,749,499
2017-12-01,637,378
2017-12-04,649,430
2017-12-05,785,456
2017-12-06,786,486
