,Data,Qt_almoco,Qt_jantar
0,2018-01-02,0,0
1,2018-01-03,0,0
2,2018-01-04,0,0
3,2018-01-05,0,0
4,2018-01-08,69,0
5,2018-01-09,112,0
6,2018-01-10,122,0
7,2018-01-11,115,0
8,2018-01-12,100,0
9,2018-01-15,117,0
10,2018-01-16,156,0
11,2018-01-17,167,0
12,2018-01-18,135,0
13,2018-01-19,120,0
14,2018-01-22,156,0
15,2018-01-23,151,0
16,2018-01-24,149,0
17,2018-01-25,130,0
18,2018-01-26,114,0
19,2018-01-29,144,0
20,2018-01-30,178,0
21,2018-01-31,179,0
22,2018-02-01,139,0
23,2018-02-02,119,0
24,2018-02-05,153,0
25,2018-02-06,155,0
26,2018-02-07,177,0
27,2018-02-08,175,0
28,2018-02-09,116,0
29,2018-02-12,0,0
30,2018-02-13,0,0
31,2018-02-14,0,0
32,2018-02-15,127,0
33,2018-02-16,131,0
34,2018-02-19,189,0
35,2018-02-20,242,0
36,2018-02-21,301,0
37,2018-02-22,604,360
38,2018-02-23,446,219
39,2018-02-26,743,489
40,2018-02-27,825,519
41,2018-02-28,811,425
42,2018-03-01,796,470
43,2018-03-02,620,278
44,2018-03-05,695,507
45,2018-03-06,858,546
46,2018-03-07,902,525
47,2018-03-08,896,514
48,2018-03-09,751,400
49,2018-03-12,730,524
50,2018-03-13,844,525
51,2018-03-14,847,530
52,2018-03-15,829,516
53,2018-03-16,630,305
54,2018-03-19,0,0
55,2018-03-20,617,465
56,2018-03-21,786,396
57,2018-03-22,834,519
58,2018-03-23,650,328
59,2018-03-26,771,543
60,2018-03-27,823,333
61,2018-03-28,763,395
62,2018-03-29,0,0
63,2018-03-30,0,0
64,2018-04-02,713,491
65,2018-04-03,852,539
66,2018-04-04,830,516
67,2018-04-05,889,527
68,2018-04-06,696,405
69,2018-04-09,772,488
70,2018-04-10,883,470
71,2018-04-11,878,481
72,2018-04-12,851,462
73,2018-04-13,726,364
74,2018-04-16,728,485
75,2018-04-17,851,501
76,2018-04-18,812,490
77,2018-04-19,799,439
78,2018-04-20,596,330
79,2018-04-23,761,486
80,2018-04-24,853,494
81,2018-04-25,794,510
82,2018-04-26,763,419
83,2018-04-27,597,334
84,2018-04-30,297,146
85,2018-05-01,0,0
86,2018-05-02,765,469
87,2018-05-03,811,485
88,2018-05-04,652,362
89,2018-05-07,705,486
90,2018-05-08,827,502
91,2018-05-09,802,450
92,2018-05-10,832,475
93,2018-05-11,611,307
94,2018-05-14,651,483
95,2018-05-15,803,476
96,2018-05-16,774,472
97,2018-05-17,767,438
98,2018-05-18,650,359
99,2018-05-21,698,464
100,2018-05-22,795,486
101,2018-05-23,819,469
102,2018-05-24,710,483
103,2018-05-25,572,283
104,2018-05-28,669,433
105,2018-05-29,776,490
106,2018-05-30,686,381
107,2018-05-31,0,0
108,2018-06-01,242,129
109,2018-06-04,660,486
110,2018-06-05,821,527
111,2018-06-06,828,471
112,2018-06-07,811,461
113,2018-06-08,650,371
114,2018-06-11,715,460
115,2018-06-12,761,449
116,2018-06-13,787,403
117,2018-06-14,751,438
118,2018-06-15,639,374
119,2018-06-18,624,428
120,2018-06-19,774,447
121,2018-06-20,756,429
122,2018-06-21,741,355
123,2018-06-22,0,205
124,2018-06-25,529,382
125,2018-06-26,577,334
126,2018-06-27,374,0
127,2018-06-28,419,261
128,2018-06-29,356,163
129,2018-07-02,0,135
130,2018-07-03,276,148
131,2018-07-04,186,0
132,2018-07-05,0,0
133,2018-07-06,68,0
134,2018-07-09,115,0
135,2018-07-10,123,0
136,2018-07-11,125,0
137,2018-07-12,112,0
138,2018-07-13,94,0
139,2018-07-16,115,0
140,2018-07-17,119,0
141,2018-07-18,115,0
142,2018-07-19,91,0
143,2018-07-20,84,0
144,2018-07-23,94,0
145,2018-07-24,111,0
146,2018-07-25,118,0
147,2018-07-26,116,0
148,2018-07-27,122,0
149,2018-07-30,128,0
150,2018-07-31,160,0
151,2018-08-01,176,0
152,2018-08-02,162,0
153,2018-08-03,142,0
154,2018-08-06,732,486
155,2018-08-07,896,560
156,2018-08-08,877,530
157,2018-08-09,862,526
158,2018-08-10,604,340
159,2018-08-13,790,520
160,2018-08-14,876,553
161,2018-08-15,775,548
162,2018-08-16,799,555
163,2018-08-17,680,415
164,2018-08-20,778,567
165,2018-08-21,903,587
166,2018-08-22,862,584
167,2018-08-23,853,591
168,2018-08-24,640,359
169,2018-08-27,788,549
170,2018-08-28,898,561
171,2018-08-29,848,564
172,2018-08-30,845,550
173,2018-08-31,677,420
174,2018-09-03,799,567
175,2018-09-04,902,569
176,2018-09-05,817,529
177,2018-09-06,695,398
178,2018-09-07,0,0
179,2018-09-10,732,546
180,2018-09-11,897,585
181,2018-09-12,786,581
182,2018-09-13,814,571
183,2018-09-14,643,403
184,2018-09-17,757,557
185,2018-09-18,853,538
186,2018-09-19,833,543
187,2018-09-20,809,530
188,2018-09-21,678,353
189,2018-09-24,739,518
190,2018-09-25,877,517
191,2018-09-26,815,522
192,2018-09-27,793,550
193,2018-09-28,592,370
194,2018-10-01,723,480
195,2018-10-02,855,505
196,2018-10-03,827,547
197,2018-10-04,803,487
198,2018-10-05,579,300
199,2018-10-08,645,484
200,2018-10-09,862,490
201,2018-10-10,781,497
202,2018-10-11,716,397
203,2018-10-12,0,0
204,2018-10-15,0,0
205,2018-10-16,711,507
206,2018-10-17,775,523
207,2018-10-18,776,534
208,2018-10-19,685,386
209,2018-10-22,725,499
210,2018-10-23,846,549
211,2018-10-24,767,518
212,2018-10-25,779,453
213,2018-10-26,586,308
214,2018-10-29,498,389
215,2018-10-30,550,378
216,2018-10-31,538,307
217,2018-11-01,489,352
218,2018-11-02,0,0
219,2018-11-05,707,504
220,2018-11-06,836,544
221,2018-11-07,831,518
222,2018-11-08,835,492
223,2018-11-09,674,372
224,2018-11-12,678,498
225,2018-11-13,859,504
226,2018-11-14,746,418
227,2018-11-15,0,0
228,2018-11-16,324,181
229,2018-11-19,710,489
230,2018-11-20,792,488
231,2018-11-21,801,492
232,2018-11-22,744,460
233,2018-11-23,583,310
234,2018-11-26,686,400
235,2018-11-27,778,438
236,2018-11-28,791,426
237,2018-11-29,716,464
238,2018-11-30,600,321
239,2018-12-03,592,385
240,2018-12-04,655,390
241,2018-12-05,668,359
242,2018-12-06,601,331
243,2018-12-07,383,188
244,2018-12-10,342,155
245,2018-12-11,414,227
246,2018-12-12,400,203
247,2018-12-13,307,155
248,2018-12-14,235,101
249,2018-12-17,122,0
250,2018-12-18,121,0
251,2018-12-19,141,0
252,2018-12-20,0,0
253,2018-12-21,0,0
254,2018-12-24,0,0
255,2018-12-25,0,0
256,2018-12-26,0,0
257,2018-12-27,0,0
258,2018-12-28,0,0
259,2018-12-31,0,0
260,2019-01-01,0,0
261,2019-01-02,0,0
262,2019-01-03,0,0
263,2019-01-04,0,0
264,2019-01-07,113,0
265,2019-01-08,111,0
266,2019-01-09,126,0
267,2019-01-10,111,0
268,2019-01-11,85,0
269,2019-01-14,117,0
270,2019-01-15,127,0
271,2019-01-16,157,0
272,2019-01-17,111,0
273,2019-01-18,114,0
274,2019-01-21,149,0
275,2019-01-22,156,0
